SurveyID,Region,SiteCode,MPA,Pre or post bleach,Year,Reef
912347666,GBR,CS101,0,Post,2016,Diamond
912347667,GBR,CS102,0,Post,2016,Diamond
912347668,GBR,CS141,0,Post,2016,Magdelaine
912347670,GBR,CS139,0,Post,2016,Magdelaine
912347671,GBR,CS140,0,Post,2016,Magdelaine
912347672,GBR,CS145,0,Post,2016,Willis
912347673,GBR,CS144,0,Post,2016,Willis
912347674,GBR,CS143,0,Post,2016,Willis
912347675,GBR,CS147,0,Post,2016,Holmes
912347676,GBR,CS149,0,Post,2016,Holmes
912347677,GBR,CS148,0,Post,2016,Holmes
912347678,GBR,CS146,0,Post,2016,Holmes
912347679,GBR,CS150,0,Post,2016,Holmes
912347680,GBR,CS151,0,Post,2016,Holmes
912347681,GBR,CS152,0,Post,2016,Holmes
912347684,GBR,COR11,NTZ,Post,2017,Hastings
912347685,GBR,COR11,NTZ,Post,2017,Hastings
912347688,GBR,CS10,NTZ,Post,2017,NE Herald
912347689,GBR,CS11,NTZ,Post,2017,NE Herald
912347690,GBR,CS9,NTZ,Post,2017,NE Herald
912347691,GBR,CS13,NTZ,Post,2017,NE Herald
912347692,GBR,CS12,NTZ,Post,2017,NE Herald
912347695,GBR,CS131,0,Post,2017,Chilcott
912347696,GBR,CS131,0,Post,2017,Chilcott
912347697,GBR,CS130,0,Post,2017,Chilcott
912347698,GBR,CS132,0,Post,2017,Chilcott
912347699,GBR,CS132,0,Post,2017,Chilcott
912347700,GBR,CS134,0,Post,2017,Chilcott
912347701,GBR,CS16,NTZ,Post,2017,Chilcott
912347702,GBR,CS15,NTZ,Post,2017,Chilcott
912347704,GBR,CS18,NTZ,Post,2017,SW Islet
912347705,GBR,CS17,NTZ,Post,2017,SW Islet
912347706,GBR,CS126,0,Post,2017,Flinders
912347707,GBR,CS127,0,Post,2017,Flinders
912347708,GBR,CS129,0,Post,2017,Flinders
912347709,GBR,CS128,0,Post,2017,Flinders
912347710,GBR,CS122,0,Post,2017,S Flinders
912347711,GBR,CS122,0,Post,2017,S Flinders
912347712,GBR,CS123,0,Post,2017,S Flinders
912347713,GBR,CS123,0,Post,2017,S Flinders
912347715,GBR,CS10,NTZ,Post,2017,NE Herald
912347716,GBR,CS11,NTZ,Post,2017,NE Herald
912347717,GBR,CS9,NTZ,Post,2017,NE Herald
912347718,GBR,CS13,NTZ,Post,2017,NE Herald
912347719,GBR,CS12,NTZ,Post,2017,NE Herald
912347722,GBR,CS130,0,Post,2017,Chilcott
912347723,GBR,CS134,0,Post,2017,Chilcott
912347724,GBR,CS16,NTZ,Post,2017,Chilcott
912347725,GBR,CS15,NTZ,Post,2017,Chilcott
912347727,GBR,CS18,NTZ,Post,2017,SW Islet
912347728,GBR,CS17,NTZ,Post,2017,SW Islet
912347729,GBR,CS129,0,Post,2017,Flinders
912347730,GBR,CS128,0,Post,2017,Flinders
912347731,GBR,CS126,0,Post,2017,Flinders
912347732,GBR,CS127,0,Post,2017,Flinders
912347734,GBR,AIMS10,NTZ,Post,2017,N Island
912347735,GBR,AIMS10,NTZ,Post,2017,N Island
912347736,GBR,AIMS12,NTZ,Post,2017,N Island
912347737,GBR,AIMS12,NTZ,Post,2017,N Island
912347738,GBR,CS1,0,Post,2017,Marion
912347739,GBR,CS1,0,Post,2017,Marion
912347740,GBR,CS2,0,Post,2017,Marion
912347741,GBR,CS2,0,Post,2017,Marion
912347746,GBR,CS3,0,Post,2017,Marion
912347747,GBR,CS3,0,Post,2017,Marion
912347748,GBR,CS4,0,Post,2017,Marion
912347749,GBR,CS4,0,Post,2017,Marion
912347750,GBR,CS5,0,Post,2017,Marion
912347751,GBR,CS5,0,Post,2017,Marion
912347752,GBR,CS6,0,Post,2017,Marion
912347753,GBR,CS6,0,Post,2017,Marion
912347754,GBR,CS7,0,Post,2017,Marion
912347755,GBR,CS7,0,Post,2017,Marion
912347756,GBR,CS8,0,Post,2017,Marion
912347757,GBR,CS8,0,Post,2017,Marion
912347758,GBR,GBR16,NTZ,Post,2017,Tryon
912347759,GBR,GBR16,NTZ,Post,2017,Tryon
912347760,GBR,GBR17,NTZ,Post,2017,Tryon
912347761,GBR,GBR17,NTZ,Post,2017,Tryon
912347762,GBR,GBR25,NTZ,Post,2017,Hook
912347763,GBR,GBR25,NTZ,Post,2017,Hook
912347796,GBR,QLD15,NTZ,Post,2017,Keppel
912347797,GBR,QLD15,NTZ,Post,2017,Keppel
912347798,GBR,QLD7,NTZ,Post,2017,Keppel
912347799,GBR,QLD7,NTZ,Post,2017,Keppel
6002154,NW,WA87,0,Pre,2010,Kimberley
6002155,NW,WA87,0,Pre,2010,Kimberley
6002156,NW,WA87,0,Pre,2010,Kimberley
6002157,NW,WA87,0,Pre,2010,Kimberley
6002158,NW,WA86,0,Pre,2010,Kimberley
6002159,NW,WA83,0,Pre,2010,Kimberley
6002160,NW,WA83,0,Pre,2010,Kimberley
6002161,NW,WA85,0,Pre,2010,Kimberley
6002162,NW,WA85,0,Pre,2010,Kimberley
6002163,NW,WA84,0,Pre,2010,Kimberley
6002164,NW,WA84,0,Pre,2010,Kimberley
912343748,NW,NWS1,0,Pre,2013,NW Shoals
912343749,NW,NWS1,0,Pre,2013,NW Shoals
912343750,NW,NWS2,0,Pre,2013,NW Shoals
912343751,NW,NWS5,0,Pre,2013,Hibernia
912343752,NW,NWS5,0,Pre,2013,Hibernia
912343753,NW,NWS6,0,Pre,2013,Hibernia
912343754,NW,NWS6,0,Pre,2013,Hibernia
912343755,NW,NWS8,0,Pre,2013,Hibernia
912343756,NW,NWS11,0,Pre,2013,Hibernia
912343757,NW,NWS11,0,Pre,2013,Hibernia
912343758,NW,NWS12,0,Pre,2013,Hibernia
912343759,NW,NWS12,0,Pre,2013,Hibernia
912343760,NW,NWS13,0,Pre,2013,Hibernia
912343761,NW,NWS15,NTZ,Pre,2013,Ashmore
912343762,NW,NWS15,NTZ,Pre,2013,Ashmore
912343763,NW,NWS17,RZ,Pre,2013,Ashmore
912343764,NW,NWS20,NTZ,Pre,2013,Ashmore
912343765,NW,NWS21,NTZ,Pre,2013,Ashmore
912343766,NW,NWS23,NTZ,Pre,2013,Ashmore
912343767,NW,NWS26,0,Pre,2013,Seringapatam
912343768,NW,NWS27,0,Pre,2013,Scott
912343769,NW,NWS30,0,Pre,2013,Scott
912343770,NW,NWS31,0,Pre,2013,Scott
912343771,NW,NWS32,0,Pre,2013,Scott
912343772,NW,NWS33,0,Pre,2013,Scott
912343773,NW,NWS34,0,Pre,2013,Scott
912343774,NW,NWS35,0,Pre,2013,Scott
912343775,NW,NWS36,0,Pre,2013,Scott
912343776,NW,NWS37,0,Pre,2013,Scott
912343777,NW,NWS38,0,Pre,2013,Scott
912343778,NW,NWS39,0,Pre,2013,Scott
912343779,NW,NWS40,0,Pre,2013,Scott
912343780,NW,NWS41,0,Pre,2013,Scott
912343781,NW,NWS1,0,Pre,2013,NW Shoals
912343782,NW,NWS3,0,Pre,2013,Hibernia
912343783,NW,NWS4,0,Pre,2013,Hibernia
912343784,NW,NWS7,0,Pre,2013,Hibernia
912343785,NW,NWS9,0,Pre,2013,Hibernia
912343786,NW,NWS10,0,Pre,2013,Hibernia
912343787,NW,NWS13,0,Pre,2013,Hibernia
912343788,NW,NWS14,NTZ,Pre,2013,Ashmore
912343789,NW,NWS16,RZ,Pre,2013,Ashmore
912343790,NW,NWS19,RZ,Pre,2013,Ashmore
912343791,NW,NWS22,RZ,Pre,2013,Ashmore
912343792,NW,NWS23,NTZ,Pre,2013,Ashmore
912343793,NW,NWS24,NTZ,Pre,2013,Ashmore
912343794,NW,NWS25,RZ,Pre,2013,Ashmore
912343795,NW,NWS27,0,Pre,2013,Scott
912343796,NW,NWS28,0,Pre,2013,Scott
912343797,NW,NWS29,0,Pre,2013,Scott
912343798,NW,NWS32,0,Pre,2013,Scott
912343799,NW,NWS33,0,Pre,2013,Scott
912343800,NW,NWS34,0,Pre,2013,Scott
912343801,NW,NWS35,0,Pre,2013,Scott
912343802,NW,NWS36,0,Pre,2013,Scott
912343803,NW,NWS37,0,Pre,2013,Scott
912343804,NW,NWS38,0,Pre,2013,Scott
912343805,NW,NWS39,0,Pre,2013,Scott
912343806,NW,NWS40,0,Pre,2013,Scott
912343807,NW,NWS41,0,Pre,2013,Scott
912343808,NW,NWS3,0,Pre,2013,Hibernia
912343809,NW,NWS4,0,Pre,2013,Hibernia
912343810,NW,NWS7,0,Pre,2013,Hibernia
912343811,NW,NWS9,0,Pre,2013,Hibernia
912343812,NW,NWS10,0,Pre,2013,Hibernia
912343813,NW,NWS13,0,Pre,2013,Hibernia
912343814,NW,NWS14,NTZ,Pre,2013,Ashmore
912343815,NW,NWS16,RZ,Pre,2013,Ashmore
912343816,NW,NWS18,RZ,Pre,2013,Ashmore
912343817,NW,NWS22,RZ,Pre,2013,Ashmore
912343818,NW,NWS24,NTZ,Pre,2013,Ashmore
912343819,NW,NWS40,0,Pre,2013,Scott
912344169,NW,NWS50,NTZ,Pre,2013,Imperieuse
912344170,NW,NWS50,NTZ,Pre,2013,Imperieuse
912344171,NW,NWS51,NTZ,Pre,2013,Imperieuse
912344172,NW,NWS51,NTZ,Pre,2013,Imperieuse
912344173,NW,NWS52,NTZ,Pre,2013,Imperieuse
912344174,NW,NWS52,NTZ,Pre,2013,Imperieuse
912344175,NW,NWS53,NTZ,Pre,2013,Imperieuse
912344176,NW,NWS53,NTZ,Pre,2013,Imperieuse
912344177,NW,NWS54,NTZ,Pre,2013,Imperieuse
912344178,NW,NWS54,NTZ,Pre,2013,Imperieuse
912344179,NW,NWS55,NTZ,Pre,2013,Imperieuse
912344180,NW,NWS55,NTZ,Pre,2013,Imperieuse
912344181,NW,NWS56,NTZ,Pre,2013,Imperieuse
912344182,NW,NWS56,NTZ,Pre,2013,Imperieuse
912344183,NW,NWS57,NTZ,Pre,2013,Imperieuse
912344184,NW,NWS58,NTZ,Pre,2013,Imperieuse
912344185,NW,NWS59,NTZ,Pre,2013,Imperieuse
912344186,NW,NWS59,NTZ,Pre,2013,Imperieuse
912344187,NW,NWS60,NTZ,Pre,2013,Imperieuse
912344188,NW,NWS60,NTZ,Pre,2013,Imperieuse
912344189,NW,NWS61,NTZ,Pre,2013,Imperieuse
912344190,NW,NWS61,NTZ,Pre,2013,Imperieuse
912344191,NW,NWS62,NTZ,Pre,2013,Imperieuse
912344192,NW,NWS63,NTZ,Pre,2013,Imperieuse
912344193,NW,NWS63,NTZ,Pre,2013,Imperieuse
912344194,NW,NWS64,NTZ,Pre,2013,Imperieuse
912344195,NW,NWS64,NTZ,Pre,2013,Imperieuse
912344196,NW,NWS65,NT,Pre,2013,Mermaid
912344197,NW,NWS65,NT,Pre,2013,Mermaid
912344198,NW,NWS66,NT,Pre,2013,Mermaid
912344199,NW,NWS66,NT,Pre,2013,Mermaid
912344200,NW,NWS66,NT,Pre,2013,Mermaid
912344201,NW,NWS67,NT,Pre,2013,Mermaid
912344202,NW,NWS67,NT,Pre,2013,Mermaid
912344203,NW,NWS68,NT,Pre,2013,Mermaid
912344204,NW,NWS68,NT,Pre,2013,Mermaid
912344205,NW,NWS69,NT,Pre,2013,Mermaid
912344206,NW,NWS69,NT,Pre,2013,Mermaid
912344207,NW,NWS70,NT,Pre,2013,Mermaid
912344208,NW,NWS70,NT,Pre,2013,Mermaid
912344209,NW,NWS71,NT,Pre,2013,Mermaid
912344210,NW,NWS71,NT,Pre,2013,Mermaid
912344211,NW,NWS72,NT,Pre,2013,Mermaid
912344212,NW,NWS72,NT,Pre,2013,Mermaid
912344213,NW,NWS73,NT,Pre,2013,Mermaid
912344214,NW,NWS73,NT,Pre,2013,Mermaid
912344215,NW,NWS74,NT,Pre,2013,Mermaid
912344216,NW,NWS74,NT,Pre,2013,Mermaid
912344217,NW,NWS75,NT,Pre,2013,Mermaid
912344218,NW,NWS75,NT,Pre,2013,Mermaid
912344219,NW,NWS76,NT,Pre,2013,Mermaid
912344220,NW,NWS76,NT,Pre,2013,Mermaid
912344221,NW,NWS77,NT,Pre,2013,Mermaid
912344222,NW,NWS77,NT,Pre,2013,Mermaid
912344223,NW,NWS78,NT,Pre,2013,Mermaid
912344224,NW,NWS78,NT,Pre,2013,Mermaid
912344225,NW,NWS79,NT,Pre,2013,Mermaid
912344226,NW,NWS79,NT,Pre,2013,Mermaid
912344227,NW,NWS80,NT,Pre,2013,Mermaid
912344228,NW,NWS80,NT,Pre,2013,Mermaid
912344229,NW,NWS81,NT,Pre,2013,Mermaid
912344230,NW,NWS81,NT,Pre,2013,Mermaid
912344231,NW,NWS82,NT,Pre,2013,Mermaid
912344232,NW,NWS82,NT,Pre,2013,Mermaid
912344233,NW,NWS83,NTZ,Pre,2013,Clerke
912344234,NW,NWS83,NTZ,Pre,2013,Clerke
912344235,NW,NWS84,NTZ,Pre,2013,Clerke
912344236,NW,NWS84,NTZ,Pre,2013,Clerke
912344237,NW,NWS85,NTZ,Pre,2013,Clerke
912344238,NW,NWS86,NTZ,Pre,2013,Clerke
912344239,NW,NWS86,NTZ,Pre,2013,Clerke
912344240,NW,NWS87,NTZ,Pre,2013,Clerke
912344241,NW,NWS87,NTZ,Pre,2013,Clerke
912344242,NW,NWS88,NTZ,Pre,2013,Clerke
912344243,NW,NWS88,NTZ,Pre,2013,Clerke
912344244,NW,NWS89,NTZ,Pre,2013,Clerke
912344245,NW,NWS90,NTZ,Pre,2013,Clerke
912344246,NW,NWS90,NTZ,Pre,2013,Clerke
912344247,NW,NWS91,NTZ,Pre,2013,Clerke
912344248,NW,NWS91,NTZ,Pre,2013,Clerke
912344249,NW,NWS92,NTZ,Pre,2013,Clerke
912344250,NW,NWS93,RZ,Pre,2013,Clerke
912344251,NW,NWS93,RZ,Pre,2013,Clerke
912344252,NW,NWS94,NTZ,Pre,2013,Clerke
912344253,NW,NWS94,NTZ,Pre,2013,Clerke
912344254,NW,NWS95,NTZ,Pre,2013,Clerke
912344255,NW,NWS95,NTZ,Pre,2013,Clerke
912344256,NW,NWS96,NTZ,Pre,2013,Clerke
912344257,NW,NWS96,NTZ,Pre,2013,Clerke
912344258,NW,NWS97,NTZ,Pre,2013,Clerke
912344259,NW,NWS97,NTZ,Pre,2013,Clerke
912344260,NW,NWS98,NTZ,Pre,2013,Clerke
912344261,NW,NWS98,NTZ,Pre,2013,Clerke
912344262,NW,NWS99,NTZ,Pre,2013,Clerke
912344263,NW,NWS99,NTZ,Pre,2013,Clerke
912344264,NW,NWS100,NTZ,Pre,2013,Clerke
912344265,NW,NWS100,NTZ,Pre,2013,Clerke
912344266,NW,NWS101,NTZ,Pre,2013,Clerke
912344267,NW,NWS101,NTZ,Pre,2013,Clerke
912344268,NW,NWS102,NTZ,Pre,2013,Clerke
912351878,NW,NWS79,NT,Post,2018,Mermaid
912351879,NW,NWS79,NT,Post,2018,Mermaid
912351880,NW,NWS70,NT,Post,2018,Mermaid
912351881,NW,NWS70,NT,Post,2018,Mermaid
912351882,NW,NWS76,NT,Post,2018,Mermaid
912351883,NW,NWS76,NT,Post,2018,Mermaid
912351884,NW,NWS69,NT,Post,2018,Mermaid
912351885,NW,NWS69,NT,Post,2018,Mermaid
912351886,NW,NWS71,NT,Post,2018,Mermaid
912351887,NW,NWS71,NT,Post,2018,Mermaid
912351888,NW,NWS72,NT,Post,2018,Mermaid
912351889,NW,NWS72,NT,Post,2018,Mermaid
912351890,NW,NWS78,NT,Post,2018,Mermaid
912351891,NW,NWS78,NT,Post,2018,Mermaid
912351892,NW,NWS81,NT,Post,2018,Mermaid
912351893,NW,NWS81,NT,Post,2018,Mermaid
912351894,NW,NWS77,NT,Post,2018,Mermaid
912351895,NW,NWS77,NT,Post,2018,Mermaid
912351896,NW,NWS91,NTZ,Post,2018,Clerke
912351897,NW,NWS91,NTZ,Post,2018,Clerke
912351898,NW,NWS88,NTZ,Post,2018,Clerke
912351899,NW,NWS88,NTZ,Post,2018,Clerke
912351900,NW,NWS86,NTZ,Post,2018,Clerke
912351901,NW,NWS86,NTZ,Post,2018,Clerke
912351902,NW,NWS90,NTZ,Post,2018,Clerke
912351903,NW,NWS90,NTZ,Post,2018,Clerke
912351904,NW,NWS93,RZ,Post,2018,Clerke
912351905,NW,NWS93,RZ,Post,2018,Clerke
912351906,NW,NWS95,NTZ,Post,2018,Clerke
912351907,NW,NWS95,NTZ,Post,2018,Clerke
912351908,NW,NWS99,NTZ,Post,2018,Clerke
912351909,NW,NWS99,NTZ,Post,2018,Clerke
912351910,NW,NWS94,NTZ,Post,2018,Clerke
912351911,NW,NWS94,NTZ,Post,2018,Clerke
912351912,NW,NWS89,NTZ,Post,2018,Clerke
912351913,NW,NWS89,NTZ,Post,2018,Clerke
912351914,NW,NWS61,NTZ,Post,2018,Imperieuse
912351915,NW,NWS61,NTZ,Post,2018,Imperieuse
912351916,NW,NWS56,NTZ,Post,2018,Imperieuse
912351917,NW,NWS56,NTZ,Post,2018,Imperieuse
912351918,NW,NWS54,NTZ,Post,2018,Imperieuse
912351919,NW,NWS54,NTZ,Post,2018,Imperieuse
912351920,NW,NWS64,NTZ,Post,2018,Imperieuse
912351921,NW,NWS64,NTZ,Post,2018,Imperieuse
912351922,NW,NWS63,NTZ,Post,2018,Imperieuse
912351923,NW,NWS63,NTZ,Post,2018,Imperieuse
912351924,NW,NWS62,NTZ,Post,2018,Imperieuse
912351925,NW,NWS62,NTZ,Post,2018,Imperieuse
912351926,NW,NWS59,NTZ,Post,2018,Imperieuse
912351927,NW,NWS59,NTZ,Post,2018,Imperieuse
912351928,NW,NWS53,NTZ,Post,2018,Imperieuse
912351929,NW,NWS53,NTZ,Post,2018,Imperieuse
912351930,NW,NWS74,NT,Post,2018,Mermaid
912351931,NW,NWS74,NT,Post,2018,Mermaid
912351932,NW,NWS80,NT,Post,2018,Mermaid
912351933,NW,NWS80,NT,Post,2018,Mermaid
912351934,NW,NWS66,NT,Post,2018,Mermaid
912351935,NW,NWS66,NT,Post,2018,Mermaid
912351936,NW,NWS66,NT,Post,2018,Mermaid
912351937,NW,NWS68,NT,Post,2018,Mermaid
912351938,NW,NWS68,NT,Post,2018,Mermaid
912351939,NW,NWS92,NTZ,Post,2018,Clerke
912351940,NW,NWS92,NTZ,Post,2018,Clerke
912351941,NW,NWS100,NTZ,Post,2018,Clerke
912351942,NW,NWS100,NTZ,Post,2018,Clerke
912351943,NW,NWS98,NTZ,Post,2018,Clerke
912351944,NW,NWS98,NTZ,Post,2018,Clerke
912351945,NW,NWS84,NTZ,Post,2018,Clerke
912351946,NW,NWS84,NTZ,Post,2018,Clerke
912351947,NW,NWS83,NTZ,Post,2018,Clerke
912351948,NW,NWS83,NTZ,Post,2018,Clerke
912351949,NW,NWS101,NTZ,Post,2018,Clerke
912351950,NW,NWS101,NTZ,Post,2018,Clerke
912351951,NW,NWS58,NTZ,Post,2018,Imperieuse
912351952,NW,NWS58,NTZ,Post,2018,Imperieuse
912351953,NW,NWS73,NT,Post,2018,Mermaid
912351954,NW,NWS73,NT,Post,2018,Mermaid
912351955,NW,NWS67,NT,Post,2018,Mermaid
912351956,NW,NWS67,NT,Post,2018,Mermaid
912351957,NW,NWS75,NT,Post,2018,Mermaid
912351958,NW,NWS75,NT,Post,2018,Mermaid
912351959,NW,NWS82,NT,Post,2018,Mermaid
912351960,NW,NWS82,NT,Post,2018,Mermaid
912351961,NW,NWS96,NTZ,Post,2018,Clerke
912351962,NW,NWS96,NTZ,Post,2018,Clerke
912351963,NW,NWS97,NTZ,Post,2018,Clerke
912351964,NW,NWS97,NTZ,Post,2018,Clerke
912351965,NW,NWS87,NTZ,Post,2018,Clerke
912351966,NW,NWS87,NTZ,Post,2018,Clerke
912351967,NW,NWS50,NTZ,Post,2018,Imperieuse
912351968,NW,NWS50,NTZ,Post,2018,Imperieuse
912351969,NW,NWS51,NTZ,Post,2018,Imperieuse
912351970,NW,NWS51,NTZ,Post,2018,Imperieuse
912351971,NW,NWS55,NTZ,Post,2018,Imperieuse
912351972,NW,NWS55,NTZ,Post,2018,Imperieuse
912351973,NW,NWS57,NTZ,Post,2018,Imperieuse
912351974,NW,NWS57,NTZ,Post,2018,Imperieuse
912351975,NW,NWS60,NTZ,Post,2018,Imperieuse
912351976,NW,NWS60,NTZ,Post,2018,Imperieuse
912351977,NW,WA83,0,Post,2018,Kimberley
912351978,NW,WA83,0,Post,2018,Kimberley
912351979,NW,NWS163,RZ,Post,2018,Kimberley
912351980,NW,NWS163,RZ,Post,2018,Kimberley
912351981,NW,WA87,0,Post,2018,Kimberley
912351982,NW,WA87,0,Post,2018,Kimberley
912351983,NW,NWS164,RZ,Post,2018,Kimberley
912351984,NW,NWS164,RZ,Post,2018,Kimberley
912351985,NW,NWS165,RZ,Post,2018,Kimberley
912351986,NW,WA86,0,Post,2018,Kimberley
912351987,NW,WA86,0,Post,2018,Kimberley
912351988,NW,NWS33,0,Post,2018,Scott
912351989,NW,NWS33,0,Post,2018,Scott
912351990,NW,NWS169,RZ,Post,2018,Kimberley
912351991,NW,NWS169,RZ,Post,2018,Kimberley
912351992,NW,NWS171,RZ,Post,2018,Kimberley
912351993,NW,NWS171,RZ,Post,2018,Kimberley
912351994,NW,NWS172,0,Post,2018,Scott
912351995,NW,NWS172,0,Post,2018,Scott
912351996,NW,NWS28,0,Post,2018,Scott
912351997,NW,NWS28,0,Post,2018,Scott
912351998,NW,NWS29,0,Post,2018,Scott
912351999,NW,NWS29,0,Post,2018,Scott
